species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,traitdata,vgbi,vickery_1999,analysis_class,include
pileated_flycatcher,NA,NA,shrub; savannah,NA,NA,Forests:  Tropical Dry; Aridlands:  Tropical Arid Scrub,NA,NA,NA,NA,shrub,FALSE
pileated_woodpecker,Forests,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
pine_grosbeak,Open Woodlands,NA,forest; woodland; shrub; artificial; wetlands_lakes_marsh,NA,NA,Forests:  Boreal,NA,NA,NA,NA,other,FALSE
pine_siskin,Open Woodlands,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
pine_warbler,Forests,NA,forest; shrub; grasslands; artificial,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,facultative,TRUE
pinyon_jay,Open Woodlands,NA,forest; shrub; grasslands; artificial,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,facultative,TRUE
piratic_flycatcher,NA,NA,forest; woodland; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,facultative,TRUE
plain_breasted_ground_dove,NA,NA,woodland; shrub; savannah; grasslands; artificial,NA,NA,Aridlands:  Tropical Arid Scrub; Grasslands:  Tropical,NA,NA,NA,NA,shrub,FALSE
plain_chachalaca,Forests,NA,forest; shrub; artificial; riparian; coastal,NA,NA,Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
plumbeous_vireo,Forests,NA,forest; woodland,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
pomarine_jaeger,NA,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Oceans:  Pelagic,NA,NA,NA,grassland obligate,obligate,TRUE
prairie_falcon,Grasslands,NA,shrub; grasslands; plains; rocky_areas; desert; artificial,NA,NA,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub; Grasslands:  Temperate,NA,NA,NA,facultative grassland,facultative,TRUE
prairie_warbler,Scrub,NA,woodland; shrub; artificial; coastal; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Islands:  Terrestrial Habitats; Coasts:  Mangroves,shrubland,NA,facultative grassland,NA,facultative,TRUE
prothonotary_warbler,Forests,NA,forest; woodland; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Forested; Forests:  Temperate Eastern; Coasts:  Mangroves; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
purple_finch,Forests,NA,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Eastern,NA,NA,NA,NA,other,FALSE
purple_gallinule,Marshes,NA,artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh,NA,NA,NA,NA,other,FALSE
purple_martin,Lakes and Ponds,NA,woodland; shrub; desert; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic; Wetlands Aerial:  Lakes and Rivers,NA,NA,facultative grassland,NA,facultative,TRUE
purple_sandpiper,NA,NA,grasslands; riparian; coastal,NA,NA,Wetlands:  Tundra; Tundra:  Arctic; Coasts:  Rocky Intertidal,NA,NA,NA,facultative grassland,facultative,TRUE
pygmy_nuthatch,Forests,NA,forest; woodland; riparian,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
pyrrhuloxia,Scrub,NA,shrub; desert; riparian,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
red_backed_shrike,NA,NA,NA,NA,NA,NA,NA,shrub,NA,NA,shrub,FALSE
red_bellied_woodpecker,Forests,NA,woodland; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,other,FALSE
red_billed_leiothrix,NA,NA,NA,forest; scrub,NA,NA,NA,NA,NA,NA,shrub,FALSE
red_breasted_meadowlark,NA,NA,shrub; savannah; grasslands; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
red_breasted_merganser,Lakes and Ponds,NA,grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Wetlands:  Boreal; Coasts:  Marine Waters; Coasts:  Beach and Estuary,NA,NA,NA,NA,facultative,TRUE
red_breasted_nuthatch,Forests,NA,forest; woodland; rocky_areas; artificial; riparian,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
red_breasted_sapsucker,Forests,NA,forest; woodland,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
red_cockaded_woodpecker,Open Woodlands,NA,forest,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,other,FALSE
red_crossbill,Forests,NA,forest; artificial,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
red_eyed_vireo,Forests,NA,forest; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Generalist; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
red_faced_warbler,Forests,NA,forest,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
red_headed_woodpecker,Open Woodlands,NA,forest; woodland; shrub; savannah; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,facultative,TRUE
red_knot,NA,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Coasts:  Beach and Estuary,NA,NA,NA,facultative grassland,facultative,TRUE
red_naped_sapsucker,Forests,NA,forest; woodland,NA,NA,Forests:  Temperate Western; Aridlands:  Desert Riparian,NA,NA,NA,NA,other,FALSE
red_necked_grebe,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
red_necked_phalarope,Oceans,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Oceans:  Pelagic; Coasts:  Marine Waters,NA,NA,NA,NA,facultative,TRUE
red_shouldered_hawk,Forests,NA,woodland; artificial; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Temperate Western,NA,NA,facultative grassland,NA,facultative,TRUE
red_tailed_hawk,NA,NA,forest; woodland; shrub; savannah; grasslands; plains; desert; artificial; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,facultative grassland,NA,facultative,TRUE
red_throated_loon,Lakes and Ponds,NA,forest; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Wetlands:  Boreal; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
red_winged_blackbird,Marshes,NA,shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Wetlands:  Freshwater Marsh,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
reddish_egret,Marshes,NA,coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Mangroves; Coasts:  Beach and Estuary,NA,NA,NA,NA,other,FALSE
redhead,Lakes and Ponds,NA,coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
resident_species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
residents,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
rhinoceros_auklet,Oceans,NA,coastal; pelagic,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
ring_billed_gull,Lakes and Ponds,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Wetlands:  Lakes and Rivers; Coasts:  Beach and Estuary,NA,NA,NA,NA,other,FALSE
ring_necked_duck,Lakes and Ponds,NA,forest; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
ring_necked_pheasant,Grasslands,NA,NA,NA,NA,Grasslands:  Temperate,NA,NA,NA,facultative grassland,facultative,TRUE
rivolis_hummingbird,Forests,NA,NA,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,other,FALSE
roadside_hawk,NA,NA,forest; shrub; savannah; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
rock_pigeon,Towns,NA,rocky_areas; artificial; coastal,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,other,FALSE
rock_ptarmigan,Tundra,NA,shrub; grasslands,NA,NA,Tundra:  Alpine; Tundra:  Arctic,NA,NA,NA,grassland obligate,obligate,TRUE
rock_sandpiper,NA,NA,grasslands; riparian; coastal,NA,NA,Tundra:  Arctic; Wetlands:  Tundra; Coasts:  Rocky Intertidal,NA,NA,NA,facultative grassland,facultative,TRUE
rock_wren,Deserts,NA,shrub; rocky_areas; artificial,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
rose_breasted_grosbeak,Forests,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
roseate_spoonbill,Marshes,NA,forest; artificial; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Mangroves; Wetlands:  Freshwater Marsh; Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
rosss_goose,NA,NA,shrub; rocky_areas; artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Tundra:  Arctic; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
rough_legged_hawk,Grasslands,NA,NA,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,grassland obligate,obligate,TRUE
royal_tern,Shorelines,NA,rocky_areas; riparian; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Beach and Estuary; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
ruby_crowned_kinglet,Forests,NA,forest; woodland; shrub; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
ruby_throated_hummingbird,Open Woodlands,NA,forest; woodland; artificial,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Dry; Forests:  Tropical Lowland Evergreen,NA,NA,facultative grassland,NA,facultative,TRUE
ruddy_breasted_seedeater,NA,NA,woodland; shrub; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic; Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
ruddy_duck,Marshes,NA,coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
ruddy_ground_dove,NA,NA,woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
ruddy_turnstone,Shorelines,NA,grasslands; rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Tundra; Wetlands:  Tundra; Coasts:  Beach and Estuary; Coasts:  Rocky Intertidal,NA,NA,NA,NA,facultative,TRUE
ruffed_grouse,Forests,NA,forest; shrub,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
rufous_collared_sparrow,NA,NA,shrub; grasslands; artificial,NA,NA,Open Country:  Developed/Disturbed; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,facultative,TRUE
rufous_crowned_sparrow,Scrub,NA,woodland; shrub; grasslands; rocky_areas,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,facultative grassland,facultative,TRUE
rufous_hummingbird,Open Woodlands,NA,forest; shrub,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
rufous_winged_sparrow,Scrub,NA,shrub; grasslands,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,facultative grassland,facultative,TRUE
rusty_blackbird,Forests,NA,forest; woodland; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Forested; Forests:  Temperate Eastern,NA,NA,NA,NA,facultative,TRUE
saffron_finch,NA,NA,woodland; shrub; savannah; artificial; riparian,NA,NA,Aridlands:  Tropical Arid Scrub,NA,NA,NA,grassland obligate,obligate,TRUE
sage_thrasher,Scrub,NA,shrub; desert,NA,NA,Aridlands:  Sagebrush; Aridlands:  Desert Scrub; Aridlands:  Desert Riparian,NA,NA,NA,NA,shrub,FALSE
sagebrush_sparrow,NA,NA,shrub; grasslands; desert,NA,NA,Aridlands:  Sagebrush; Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
saltmarsh_sparrow,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh,NA,NA,NA,NA,facultative,TRUE
sanderling,NA,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Wetlands:  Tundra; Coasts:  Beach and Estuary,NA,NA,NA,facultative grassland,facultative,TRUE
sandhill_crane,Marshes,NA,shrub; artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
sandwich_tern,Shorelines,NA,coastal,NA,NA,Coasts:  Beach and Estuary; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
savannah_sparrow,Grasslands,NA,shrub; grasslands; plains; artificial; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Saltmarsh,NA,NA,NA,grassland obligate,obligate,TRUE
says_phoebe,Grasslands,NA,savannah; grasslands; artificial,NA,NA,Aridlands:  Desert Scrub; Forests:  Temperate Western; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
scaled_quail,Grasslands,NA,shrub; grasslands; desert,NA,NA,Grasslands:  Chihuahuan; Aridlands:  Desert Scrub,NA,NA,NA,facultative grassland,facultative,TRUE
scaly_breasted_munia,NA,NA,woodland; shrub; grasslands; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
scarlet_tanager,Forests,NA,forest; woodland; artificial,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
scissor_tailed_flycatcher,Grasslands,NA,shrub; savannah; coastal; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Forests:  Tropical Dry; Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,facultative,TRUE
scotts_oriole,Open Woodlands,NA,woodland; shrub; desert,NA,NA,Forests:  Mesoamerican Pine-Oak; Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,shrub,FALSE
seaside_sparrow,Marshes,NA,coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
sedge_wren,Grasslands,NA,grasslands; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,grassland obligate,obligate,TRUE
semipalmated_plover,Shorelines,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Beach and Estuary; Tundra:  Arctic,NA,NA,NA,NA,other,FALSE
semipalmated_sandpiper,NA,NA,shrub; grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Beach and Estuary,NA,NA,NA,facultative grassland,facultative,TRUE
sharp_shinned_hawk,Forests,NA,forest; woodland; shrub; savannah,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,facultative,TRUE
sharp_tailed_grouse,Grasslands,NA,forest; woodland; grasslands; desert; artificial,NA,NA,Grasslands:  Temperate; Forests:  Boreal,NA,NA,NA,grassland obligate,obligate,TRUE
shiny_cowbird,NA,NA,shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
short_billed_dowitcher,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Coasts:  Beach and Estuary,NA,NA,NA,facultative grassland,facultative,TRUE
short_eared_owl,Grasslands,NA,forest; savannah; grasslands; plains; artificial; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Grasslands:  Temperate; Coasts:  Saltmarsh,NA,NA,facultative grassland,grassland obligate,obligate,TRUE
short_tailed_hawk,Forests,NA,forest; grasslands; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Forests:  Generalist,NA,NA,NA,NA,facultative,TRUE
shrub_species,NA,shrub,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
sierra_madre_sparrow,NA,NA,grasslands; artificial,NA,NA,Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
smiths_longspur,NA,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Grasslands:  Temperate,NA,NA,NA,grassland obligate,obligate,TRUE
smooth_billed_ani,Scrub,NA,woodland; shrub; grasslands; riparian,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
snow_bunting,NA,NA,plains; rocky_areas; artificial; coastal,NA,NA,Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary,NA,NA,NA,grassland obligate,obligate,TRUE
snow_goose,NA,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Tundra:  Arctic; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
snowy_egret,Marshes,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative,TRUE
snowy_owl,NA,NA,shrub; grasslands; rocky_areas; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,grassland obligate,obligate,TRUE
snowy_plover,Shorelines,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
social_flycatcher,NA,NA,woodland; shrub; grasslands; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
solitary_sandpiper,Marshes,NA,forest; woodland; savannah; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,facultative,TRUE
song_sparrow,Open Woodlands,NA,woodland; shrub; riparian; coastal,NA,NA,Open Country:  Habitat Mosaic,shrubland,NA,facultative grassland,NA,facultative,TRUE
sooty_grouse,Forests,NA,forest,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
sora,Marshes,NA,artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
southern_lapwing,NA,NA,shrub; grasslands; artificial; riparian; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
southern_rough_winged_swallow,NA,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
sparrows,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
specialists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
spot_breasted_oriole,Towns,NA,woodland; shrub; artificial,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
spotted_dove,NA,NA,NA,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,other,FALSE
spotted_nothura,NA,NA,NA,obligate,NA,NA,NA,NA,NA,NA,obligate,TRUE
spotted_owl,Forests,NA,forest; woodland; rocky_areas,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
spotted_sandpiper,Shorelines,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
spotted_towhee,Scrub,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
spragues_pipit,Grasslands,NA,grasslands; plains,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,grassland obligate,obligate,TRUE
spruce_grouse,Forests,NA,forest; shrub,NA,NA,Forests:  Boreal,NA,NA,NA,NA,other,FALSE
stellers_jay,Forests,NA,forest; woodland; artificial,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
striped_cuckoo,NA,NA,shrub,NA,NA,Open Country:  Habitat Mosaic; Grasslands:  Tropical,NA,NA,NA,NA,facultative,TRUE
striped_owl,NA,NA,woodland; shrub; savannah; artificial; riparian; wetlands_lakes_marsh,NA,NA,Grasslands:  Tropical,NA,NA,NA,facultative grassland,facultative,TRUE
striped_sparrow,NA,NA,woodland; shrub; grasslands,NA,NA,Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
sulphur_bellied_flycatcher,Forests,NA,forest; woodland,NA,NA,Forests:  Tropical Dry; Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
summer_tanager,Open Woodlands,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
surf_scoter,Oceans,NA,forest; coastal; wetlands_lakes_marsh; pelagic,NA,NA,Wetlands:  Boreal; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
surfbird,NA,NA,shrub; rocky_areas; coastal,NA,NA,Tundra:  Alpine; Coasts:  Rocky Intertidal,NA,NA,NA,facultative grassland,facultative,TRUE
swainsons_hawk,Grasslands,NA,forest; woodland; grasslands; desert,NA,NA,Grasslands:  Temperate; Grasslands:  Pampas and Campos,NA,NA,NA,grassland obligate,obligate,TRUE
swainsons_thrush,Forests,NA,forest; shrub; artificial; riparian,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
swainsons_warbler,Forests,NA,forest; shrub; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
swallow_tailed_kite,Forests,NA,forest; woodland; shrub; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
swamp_sparrow,Marshes,NA,woodland; shrub; grasslands; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Freshwater Marsh; Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative,TRUE
tennessee_warbler,Forests,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Boreal; Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
thick_billed_kingbird,Open Woodlands,NA,woodland; shrub; savannah; artificial,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,facultative,TRUE
tits,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
townsends_solitaire,Open Woodlands,NA,forest; woodland; shrub; rocky_areas; desert; riparian,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
townsends_warbler,Forests,NA,forest; woodland,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
tree_pipit,NA,NA,NA,NA,NA,NA,NA,deciduous_forest; coniferous_forest; woodland; savanna,NA,NA,other,FALSE
tree_swallow,Lakes and Ponds,NA,woodland; shrub; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands Aerial:  Generalist; Coasts:  Saltmarsh,NA,NA,facultative grassland,NA,facultative,TRUE
tres_marias_hummingbird,NA,NA,woodland; shrub,NA,NA,Islands:  Terrestrial Habitats; Forests:  Tropical Dry; Aridlands:  Tropical Arid Scrub,NA,NA,NA,NA,shrub,FALSE
tricolored_blackbird,Marshes,NA,artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Open Country:  Developed/Disturbed,NA,NA,NA,NA,other,FALSE
tricolored_heron,Marshes,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
tricolored_munia,NA,NA,NA,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,other,FALSE
tropical_kingbird,NA,NA,shrub; artificial; riparian; coastal,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
tropical_mockingbird,NA,NA,shrub; artificial; coastal,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
tropical_pewee,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
trumpeter_swan,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Lakes and Rivers; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
tufted_titmouse,Forests,NA,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern,NA,NA,NA,NA,other,FALSE
tundra_swan,Lakes and Ponds,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Wetlands:  Generalist,NA,NA,NA,NA,facultative,TRUE
turkey_vulture,Open Woodlands,NA,forest; woodland; shrub; savannah; grasslands; rocky_areas; desert; artificial; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
upland_sandpiper,Grasslands,NA,savannah; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Grasslands:  Pampas and Campos,NA,NA,NA,grassland obligate,obligate,TRUE
variable_seedeater,NA,NA,NA,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
varied_bunting,Scrub,NA,woodland; shrub,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
varied_thrush,Forests,NA,forest; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
